Publisher;Number;Jan;Feb;Mrz;Apr;Mai;Jun;Jul;Aug;Sep;Okt;Nov;Dez;Bemerkung;;;;;;Publication Date
Seven Seas Entertainment;Go for It, Nakamura! (2018 series) ;;;;;;;Go for It, Nakamura! (2018 series) ;;;;;;;;;;;;2018
Seven Seas Entertainment;Haganai: I Don't Have Many Friends (2012 series) #16;;;;;;;;;;;; #16;;;;;;;[December] 2018
Seven Seas Entertainment;Harukana Receive (2018 series) #1;;;;;;; #1;;; #2;;;;;;;;;2018
Seven Seas Entertainment;Hatsune Miku Presents: Hachune Miku’s Everyday Vocaloid Paradise (2017 series) #2; #2;;; #3;;;;; #4;;;;;;;;;;
Seven Seas Entertainment;High-Rise Invasion (2018 series) #1-2;;;;;; #1-2;;; #3-4;;; #5-6;;;;;;;2018
Seven Seas Entertainment;Himouto! Umaru-chan (2018 series) #1;;;;; #1;; #2;;; #3;;;;;;;;;2018
Seven Seas Entertainment;Hollow Fields (2017 series) #2;;;;;;; #2;;;;;;;;;;;;2018
Seven Seas Entertainment;Hollow Fields (HCF) (2018 series) ;;;;;;;;;;HCF;;;;;;;;;2018
Seven Seas Entertainment;Holy Corpse Rising (2017 series) #5;;;;;;;; #5;;;;;;;;;;;2018
Seven Seas Entertainment;How Not to Summon a Demon Lord (2018 series) #1;;;;;; #1;;;; #2;;;;;;;;;2018
Seven Seas Entertainment;How to Build a Dungeon: Book of the Demon King (2016 series) #4;;;;;;;; #4;;;;;;;;;;;2018
Seven Seas Entertainment;How to Treat Magical Beasts: Mine and Master’s Medical Journal (2018 series) #1;;;;; #1;;;;; #2;;;;;;;;;2018
Seven Seas Entertainment;Hungry for You: Endo Yasuko Stalks the Night (2018 series) #1;;;;; #1;;;;;;; #2;;;;;;;May 2018
Seven Seas Entertainment;If It’s for My Daughter, I’d Even Defeat a Demon Lord (2018 series) #1;;;;; #1;;;;; #2;;;;;;;;;2018
Seven Seas Entertainment;Juana and the Dragonewt’s Seven Kingdoms (2018 series) #1; #1;;;; #2;;;;;; #3;;;;;;;;January 2018
Seven Seas Entertainment;Kase-san and… (2017 series) #4 - An Apron;; #4 - An Apron;;;;;;;;;;;;;;;;;February 2018
Seven Seas Entertainment;Little Devils (2018 series) #1;;;;;;; #1;;;;;;;;;;;;2018
Seven Seas Entertainment;Lord Marksman and Vanadis (2016 series) #8;;;;;;;; #8;;;; #9;;;;;;;2018
Seven Seas Entertainment;MachiMaho: I Messed Up and Made the Wrong Person into a Magical Girl! (2018 series) #1;;;;;;;;;; #1;;;;;;;;;October 2018
Seven Seas Entertainment;Made in Abyss (2018 series) #1; #1;;; #2;;; #3;;; #4;;;;;;;;;January 2018
Seven Seas Entertainment;Magical Girl Apocalypse (2014 series) #14;;; #14;;;;; #15;; #16;;;;;;;;;2018
Seven Seas Entertainment;Magical Girl Site (2017 series) #7;;;;;;;;; #7;;;;;;;;;;2018
Seven Seas Entertainment;Magical Girl Special Ops Asuka (2017 series) #2;; #2;;;;; #3;; #4;;;;;;;;;;2018
Seven Seas Entertainment;Magika Swordsman and Summoner (2015 series) #10;;;;;;;;;;;; #10;;;;;;;[December] 2018
Seven Seas Entertainment;Magika Swordsman and Summoner (2015 series) #9;;;;;; #9;;;;;;;;;;;;;2018
Seven Seas Entertainment;MaMaMa: Magical Director Mako-chan’s Magical Guidance (2018 series) ;;MaMaMa: Magical Director Mako-chan’s Magical Guidance (2018 series) ;;;;;;;;;;;;;;;;;2018
Seven Seas Entertainment;Masamune-kun’s Revenge (2016 series) #7; #7;;;;; #8;;;;;;;;;;;;;January 2018
Seven Seas Entertainment;Miss Kobayashi’s Dragon Maid: Kanna’s Daily Life (2018 series) #2;;;;; #2;;;;; #3;;;;;;;;;2018
Seven Seas Entertainment;Miss Kobayashi's Dragon Maid (2016 series) #6;;;;; #6;;;;;; #7;;;;;;;;May 2018
Seven Seas Entertainment;Mononoke Sharing (2018 series) #1;;; #1;;; #2;;;; #3;;;;;;;;;2018
Seven Seas Entertainment;Monster Musume: Everyday Life with Monster Girls (2013 series) #14;;;;;;;;;;;; #14;;;;;;;[December] 2018
Seven Seas Entertainment;Mushoku Tensei: Jobless Reincarnation (2015 series) #7;;;; #7;;;;;;;; #8;;;;;;;2018
Seven Seas Entertainment;Mushroom Girls in Love (2018 series) ;;;;;;;Mushroom Girls in Love (2018 series) ;;;;;;;;;;;;[July] 2018
Seven Seas Entertainment;My Monster Secret: Actually, I Am… (2016 series) #10;;; #10;;; #11;; #12;; #13;; #14;;;;;;;April 2018
Seven Seas Entertainment;My Monster Secret: Actually, I Am… (2016 series) #9; #9;;;;;;;;;;;;;;;;;;January 2018
Seven Seas Entertainment;My Solo Exchange Diary (2018 series) #1;;;;;; #1;;;;;;;;;;;;;June 2018
Seven Seas Entertainment;Nameless Asterism (2018 series) #1;; #1;; #2;;;;;; #3;;;;;;;;;2018
Seven Seas Entertainment;New Game! (2018 series) #1;;; #1;; #2;;;; #3;;; #4;;;;;;;2018
Seven Seas Entertainment;Nirvana (2017 series) #3;;;;;;;;;;; #3;;;;;;;;[November] 2018
Seven Seas Entertainment;Non Non Biyori (2015 series) #10;;;;;;; #10;;;;;;;;;;;;2018
Seven Seas Entertainment;Not Lives (2016 series) #10;;;;;;;;; #10;;;;;;;;;;2018
Seven Seas Entertainment;Not Lives (2016 series) #7; #7;; #8;;; #9;;;;;;;;;;;;;
Seven Seas Entertainment;NTR: Netsuzou Trap (2016 series) #5;;;;;; #5;;;;;; #6;;;;;;;2018
Seven Seas Entertainment;Nurse Hitomi’s Monster Infirmary (2015 series) #7; #7;;;;;;;;; #8;;;;;;;;;
Seven Seas Entertainment;Ojojojo (2018 series) #1-2;;;;;;;;;;;; #1-2;;;;;;;[December] 2018
Seven Seas Entertainment;Pandora in the Crimson Shell: Ghost Urn (2015 series) #10;;;; #10;;;;;;;;;;;;;;;2018
Seven Seas Entertainment;Pandora in the Crimson Shell: Ghost Urn (2015 series) #9; #9;;;;;;;;;;;;;;;;;;
Seven Seas Entertainment;Plum Crazy! Tales of a Tiger-Striped Cat (2017 series) #4; #4;;;;;;;;;;;;;;;;;;[January] 2018
Seven Seas Entertainment;Plus-Sized Elf (2018 series) #1;;;;;;;;;; #1;;;;;;;;;[October] 2018
Seven Seas Entertainment;Precarious Woman Executive Miss Black General (2018 series) #1;;;;;;; #1;; #2;;;;;;;;;;2018
Seven Seas Entertainment;Saint Seiya: Saintia Sh? (2018 series) #1;; #1;;; #2;;; #3;;; #4;;;;;;;;2018
Seven Seas Entertainment;Satan’s Secretary (2018 series) #1;;;;; #1;;;;;;;;;;;;;;2018
Seven Seas Entertainment;Satoko and Nada (2018 series) #1;;;;;;;;;; #1;;;;;;;;;October 2018
Seven Seas Entertainment;Shomin Sample: I Was Abducted by an Elite All-Girls School as a Sample Commoner (2016 series) #8;;; #8;;;;;;;; #9;;;;;;;;2018
Seven Seas Entertainment;Slumbering Beauty (2017 series) #2;;;;;;;;;;;; #2;;;;;;;December 2018
Seven Seas Entertainment;Sorry for My Familiar (2018 series) #1;;; #1;;;; #2;;;; #3;;;;;;;;2018
Seven Seas Entertainment;Soul Liquid Chambers (2018 series) #1;;; #1;;;;;; #2;;;;;;;;;;2018
Seven Seas Entertainment;Species Domain (2017 series) #5;;;;;;;; #5;;;;;;;;;;;2018
Seven Seas Entertainment;Spirit Circle (2017 series) #3;;;; #3;;; #4;;; #5;;;;;;;;;2018
Seven Seas Entertainment;Tales of Zestiria (2017 series) #4;; #4;;;;;;;;;;;;;;;;;2018
Seven Seas Entertainment;The Ancient Magus' Bride (2015 series) #9;;;;;;;;; #9;;;;;;;;;;September 2018
Seven Seas Entertainment;The Bride & the Exorcist Knight (2018 series) #1;;;;;;; #1;;;; #2;;;;;;;;2018
Seven Seas Entertainment;The Dungeon of Black Company (2018 series) #1;;;;; #1;;;;;; #2;;;;;;;;2018
Seven Seas Entertainment;The Girl from the Other Side: Siúil A Rún (2017 series) #4;;; #4;;;;;; #5;;;;;;;;;;March 2018
Seven Seas Entertainment;The High School Life of a Fudanshi (2017 series) #3; #3;;;;;;;;;; #4;;;;;;;;
Seven Seas Entertainment;The Testament of Sister New Devil (2016 series) #8;;; #8;;;; #9;;;;;;;;;;;;March 2018
Seven Seas Entertainment;The Testament of Sister New Devil: Storm! (2017 series) #2;; #2;; #3;;;; #4;;; #5;;;;;;;;January 2018
Seven Seas Entertainment;The Voynich Hotel (2018 series) #1;;;;;;; #1;;; #2;;;;;;;;;2018
Seven Seas Entertainment;There's a Demon Lord on the Floor (2017 series) #6;;;;;;;;;; #6;;;;;;;;;[October] 2018
Seven Seas Entertainment;To Love Ru (2017 series) #3-4; #3-4;; #5-6;; #7-8;;;;;;;;;;;;;;January 2018
Seven Seas Entertainment;To Love Ru (2017 series) #9-10;;;;;;;;; #9-10;;;;;;;;;;September 2018
Seven Seas Entertainment;To Love Ru Darkness (2017 series) #2; #2; #3;; #4;; #5;;; #6; #7;; #8;;;;;;;2018
Seven Seas Entertainment;Tomo-chan Is a Girl! (2018 series) #1;;;;;;;;; #1;;; #2;;;;;;;2018
Seven Seas Entertainment;Toradora! (2011 series) #8;;;;;;;;; #8;;;;;;;;;;2018
Seven Seas Entertainment;Ultra Kaiju Humanization Project (2018 series) #1;;;;;;;; #1;;;;;;;;;;;2018
Seven Seas Entertainment;Unmagical Girl (2018 series) #2;; #2;;;;;;;;;;;;;;;;;2018
Seven Seas Entertainment;Versailles of the Dead (2018 series) #1;;;;;;;;;; #1;;;;;;;;;[October] 2018
Seven Seas Entertainment;Wonderland (2018 series) #1;;;;;;;;;;; #1;;;;;;;;[November] 2018
Seven Seas Entertainment;World’s End Harem (2018 series) #1;;;; #1;;; #2;;; #3;;;;;;;;;April 2018
Seven Seas Entertainment;Yokai Girls (2018 series) #2; #1; #2;;;; #3;;; #4;; #5;;;;;;;;2018
Seven Seas Entertainment;Yokai Rental Shop (2017 series) #2; #2;;;; #3;;;;; #4;;;;;;;;;2018
Seven Seas Entertainment;Yuuna and the Haunted Hot Springs (2018 series) #1;;;;; #1; #2;; #3;;; #4;;;;;;;;March 2018
Seven Stories Press;The Mental Load: A Feminist Comic (2018 series) ;;;;;;;;;;The Mental Load: A Feminist Comic (2018 series) ;;;;;;;;;2018
Seven Stories Press;The Epic of Gilgamesh;;;;;HC;;;;;;;;;;;;;;
Shambhala Publications;Bushido: The Soul of the Samurai (2018 series) ;Bushido: The Soul of the Samurai (2018 series) ;;;;;;;;;;;;;;;;;;2018
Shortbox;Beneath the Dead Oak Tree (2018 series) ;;Beneath the Dead Oak Tree (2018 series) ;;;;;;;;;;;;;;;;;February 2018
Shortbox;Cat & Bag (2018 series) ;;Cat & Bag (2018 series) ;;;;;;;;;;;;;;;;;February 2018
Shortbox;Homunculus (2018 series) ;;;;;;Homunculus (2018 series) ;;;;;;;;;;;;;2018
Shortbox;Navel Gazing (2018 series) ;;Navel Gazing (2018 series) ;;;;;;;;;;;;;;;;;February 2018
Shortbox;Sending You Love from Paradise (2018 series) ;;Sending You Love from Paradise (2018 series) ;;;;;;;;;;;;;;;;;January 2018
Shortbox;Summer Break (2018 series) ;;;;;;Summer Break (2018 series) ;;;;;;;;;;;;;June 2018
Shortbox;The River Bank (2018 series) ;;;;;;The River Bank (2018 series) ;;;;;;;;;;;;;June 2018
Shortbox;What Are You Thinking About? (2018 series) ;;;;;;What Are You Thinking About? (2018 series) ;;;;;;;;;;;;;June 2018
Shortbox;Wizard + Softpig (2018 series) ;;Wizard + Softpig (2018 series) ;;;;;;;;;;;;;;;;;February 2018
Shortbox;Your Mother's Fox (2018 series) ;;;;;;Your Mother's Fox (2018 series) ;;;;;;;;;;;;;June 2018
Silver Sprocket;Daygloayhole Quarterly (2018 series) #1;;;;; #1;;; #2;;;; #3;;;;;;;2018
Silver Sprocket;No Gods. No Dungeon Masters. (2018 series) ;;No Gods. No Dungeon Masters. (2018 series) ;;;;;;;;;;;;;;;;;2018
Simon and Schuster;Bad Girls (2018 series) ;;;;;;;Bad Girls (2018 series) ;;;;;;;;;;;;2018
Simon and Schuster;Belonging: A German Reckons with History and Home (2018 series) ;;;;;;;;;;Belonging: A German Reckons with History and Home (2018 series) ;;;;;;;;;2018
Simon and Schuster;Fake Blood (2018 series) ;;;;;;;;;Fake Blood (2018 series) ;;;;;;;;;;2018
Simon and Schuster;Fake Blood (2018 series) ;;;;;;;;;Fake Blood (2018 series) ;;;;;;;;;;2018
Simon and Schuster;Other People: Days of the Bagnold Summer & Driving Short Distances (2018 series) ;;;;;;;;;Other People: Days of the Bagnold Summer & Driving Short Distances (2018 series) ;;;;;;;;;;2018
Simon and Schuster;Stephen King's The Dark Tower: Beginnings (2018 series) #4 - The Fall of Gilead;;;;;;;;; #4 - The Fall of Gilead;;;;;;;;;;2018
Sitcomics;Sitcomics Presents - Z-People;;;;#1.1;;#1.2;;;;;;;;;;;;;
Somos Arte;Ricanstruction: Reminiscing & Rebuilding Puerto Rico (2018 series) ;;;;;Ricanstruction: Reminiscing & Rebuilding Puerto Rico (2018 series) ;;;;;;;;;;;;;;2018
"Soul Fiction Factory; Champion Comics";Ruined My Rhythm (2016 series) #3;;;;;;;;;; #3;;;;;;;;;
Source Point Press;Day 165 (2018 series) ;;;;;;;;;Day 165 (2018 series) ;;;;;;;;;;
Source Point Press;Dead Duck and Zombie Chick: Rising from the Grave (2018 series) ;;;;Dead Duck and Zombie Chick: Rising from the Grave (2018 series) ;;;;;;;;;;;;;;;2018
Source Point Press;Fallstreak (2018 series) ;;;;;Fallstreak (2018 series) ;;;;;;;;;;;;;;[May 2018]
Source Point Press;Family Graves (2018 series) #1;;;;;;;;; #1; #2; #3;;;;;;;;February 2018
Source Point Press;Grief (2018 series) ;;;;;;;;Grief (2018 series) ;;;;;;;;;;;2018
Source Point Press;Haunted High-Ons (2018 series) ;;;;Haunted High-Ons (2018 series) ;;;;;;;;;;;;;;;2018
Source Point Press;Holliston: Carnival of Carnage (2018 series) #1;;;;;;;;;; #1;;;;;;;;;[October] 2018
Source Point Press;Holliston: Friendship Is Tragic (2018 series) ;;;;;Holliston: Friendship Is Tragic (2018 series) ;;;;;;;;;;;;;;2018
Source Point Press;Made-Up: Zombie Clown Circus (2018 series) ;;;;;;Made-Up: Zombie Clown Circus (2018 series) ;;;;;;;;;;;;;2018
Source Point Press;Monstrous (2018 series) #1;;;;;;;;;;; #1;;;;;;;;
Source Point Press;Monstrous: Three Monsters and a Baby, Halloween ComicFest Edition (2018 series) ;;;;;;;;;;Monstrous: Three Monsters and a Baby, Halloween ComicFest Edition (2018 series) ;;;;;;;;;2018
Source Point Press;Morte (2018 series) ;;;;;;;Morte (2018 series) ;;;;;;;;;;;;2018
Source Point Press;Norah (2018 series) #1;;;;;;;; #1; #2; #3;; #4;;;;;;;
Source Point Press;Ogre (2018 series) #1;;;;;;;;;; #1;; #2;;;;;;;
Source Point Press;Ogre (2018 series) #2;;;;;;;;;;;; #3;;;;;;;[December] 2018
Source Point Press;Rejected (2018 series) ;;;;;;;;Rejected (2018 series) ;;;;;;;;;;;2018
Source Point Press;Salvagers (2018 series) #1 - Abandoned Cargo;;;; #1 - Abandoned Cargo;;;;;;;;;;;;;;;2018
Source Point Press;Sioux Falls (2018 series) #1;;;;;;; #1;;;;;;;;;;;;2017
Source Point Press;The Boxmasters a Twisted Tale through Time (2018 series) #1;;;;;; #1;;;;;;;;;;;;;2017
Source Point Press;The Rot (2015 series) #1;;;;; #1; #2;;;;;;;;;;;;;2015
Source Point Press;The Rot (2015 series) #2;;;;;; #3;;;;;;;;;;;;;2012
Source Point Press;Wretched Things (2018 series) ;;;;;;;;;Wretched Things (2018 series) ;;;;;;;;;;2018
SouthEast Comics;Alfa;;#1;;#2;;;;;;;;;;;;;;;
Space Goat Productions;The Howling: Revenge of the Werewolf Queen (2018 series) #1; #1;;;;;;;;;;;;;;;;;;2018
Spit and a Half;King-Cat Comics and Stories (1989 series) #78;;;;;; #78;;;;;;;;;;;;;
Storm King Productions;John Carpenter's Tales of Science Fiction: The Standoff (2018 series) #1;;;;;; #1; #2;; #3; #4; #5;;;;;;;;June 2018
Storm King Productions;John Carpenter's Tales of Science Fiction: Vortex (2017 series) #3; #3; #5; #6;; #7;;;;;;;;;;;;;;December 2017
Storm King Productions;John Carpenter's Tales of Science Fiction: Vortex (2017 series) #4; #4;;;; #8;;;;;;;;;;;;;;January 2018
Studio Farlaine;Farlaine the Goblin (2013 series) #6 - The Winglands;;; #6 - The Winglands;;;;;;;;;;;;;;;;
Sunday Press Books;Crazy Quilt: Scraps & Panels on the Way to Gasoline Alley (2018 series) ;Crazy Quilt: Scraps & Panels on the Way to Gasoline Alley (2018 series) ;;;;;;;;;;;;;;;;;;2018
Sunday Press Books;Thimble Theatre and the Pre-Popeye Comics of E. C. Segar (2018 series) ;;;;;;;;;;;;Thimble Theatre and the Pre-Popeye Comics of E. C. Segar (2018 series) ;;;;;;;October 2018
Ten Speed Press;The Comic Book Story of Professional Wrestling: A Hardcore, High-Flying, No-Holds-Barred History of the One True Sport (2018 series) ;;;;;;;;;;The Comic Book Story of Professional Wrestling: A Hardcore, High-Flying, No-Holds-Barred History of the One True Sport (2018 series) ;;;;;;;;;[October] 2018
Th3rd World Studios;The Stuff of Legend Volume V: A Call to Arms (2017 series) #3;;;;; #3;;;;;;;;;;;;;;[May] 2018
The Lego Group;Lego Life (2013 ? series) #January - February 2018; #January - February 2018;;;;;;;;;;;;;;;;;;January - February 2018
The Lego Group;Lego Life (2013 ? series) #July - August 2018;;;;;;; #July - August 2018;;;;;;;;;;;;July 2018
The Lego Group;Lego Life (2013 ? series) #March - May 2018;; #March - May 2018;;;;;;;;;;;;;;;;;March 2018
The Lego Group;Lego Life (2013 ? series) #September - October 2018;;;;;;;;; #September - October 2018;;;;;;;;;;September 2018
The New York Review of Books;Piero (2018 series) ;;;;;;;;;;;Piero (2018 series) ;;;;;;;;[November] 2018
The New York Review of Books;Slum Wolf (2018 series) ;;;;;;;;Slum Wolf (2018 series) ;;;;;;;;;;;2018
The New York Review of Books;Yellow Negroes and Other Imaginary Creatures (2018 series) ;;;;Yellow Negroes and Other Imaginary Creatures (2018 series) ;;;;;;;;;;;;;;;[April] 2018
The Phoenix Comic;The Phoenix (2011 series) #316; #316;;;;;;;;;;;;;;;;;;20 January 2018
Titan;2021 Lost Children (2018 series) #1;;;;; #1; #2;;;;;;;;;;;;;
Titan;Alisik (2018 series) ;;;;;;Alisik (2018 series) ;;;;;;;;;;;;;
Titan;Alisik (2018 series) #1;; #1; #2;;;;;;;;;;;;;;;;March 2018
Titan;Assassin's Creed: Conspiracies (2018 series) ;;;;;;;;;;;;Assassin's Creed: Conspiracies (2018 series) ;;;;;;;October 2018
Titan;Assassin's Creed: Conspiracies (2018 series) #1;;;;;;;; #1; #2;;;;;;;;;;September 2018
Titan;Assassin's Creed: Origins (2018 series) ;;;;;;;;;;Assassin's Creed: Origins (2018 series) ;;;;;;;;;2018
Titan;Assassin's Creed: Origins (2018 series) #1;; #1;; #2; #3; #4;;;;;;;;;;;;;March 2018
Titan;Assassin's Creed: Uprising (2017 series) #2; #2; #3; #4; #5; #6; #7; #8; #9;;;;;;;;;;;
Titan;Atlas and Axis (2018 series) ;;;;;;;Atlas and Axis (2018 series) ;;;;;;;;;;;;[2018]
Titan;Atlas and Axis (2018 series) #1; #1; #2; #3; #4;;;;;;;;;;;;;;;February 2018
Titan;Babylon Berlin (2018 series) ;;Babylon Berlin (2018 series) ;;;;;;;;;;;;;;;;;January 2018
Titan;Bloodborne (2018 series) #1 - The Death of Sleep;;;;;;;;;; #1 - The Death of Sleep;;;;;;;;;
Titan;Bloodborne (2018 series) #1;; #1; #2; #3; #4;;;; #5; #6; #7;;;;;;;;March 2018
Titan;Breakneck (2018 series) #1;;;;;;;;;;;; #1;;;;;;;December 2018
Titan;Brother Nash (2018 series) #1;;;;;; #1; #2; #3;;;;;;;;;;;
Titan;Captain Kronos - Vampire Hunter (2017 series) #4; #4;;;;;;;;;;;;;;;;;;[January] 2018
Titan;Dan Dare (2017 series) #4; #4;;;;;;;;;;;;;;;;;;January 2018
Titan;Dan Dare Complete Collection (2018 series) #1 - The Venus Campaign;;;;;;;;;;; #1 - The Venus Campaign;;;;;;;;November 2018
Titan;Dan Dare Pilot of the Future: The Earth Stealers (2018 series) ;;;;;Dan Dare Pilot of the Future: The Earth Stealers (2018 series) ;;;;;;;;;;;;;;May 2018
Titan;Dark Souls: Omnibus (2018 series) ;;;;;;;;;;;Dark Souls: Omnibus (2018 series) ;;;;;;;;October 2018
Titan;Dark Souls: The Age of Fire (2018 series) #1;;;;; #1; #2; #3;;; #4;;;;;;;;;May 2018
Titan;Dead Life (2018 series) #1;;;;;;; #1; #2; #3;;;;;;;;;;August 2018
Titan;Dishonored: The Peeress and the Price (2018 series) #1; #1;;;;;;;;;;;;;;;;;;February 2018
Titan;Doctor Radar (2018 series) #1;; #1;;;;;;;;;;;;;;;;;April 2018
Titan;Doctor Who: Free Comic Book Day 2018 (2018 series) #1 (00);;;;; #1 (00);;;;;;;;;;;;;;June 2018
Titan;Doctor Who: Ghost Stories (2018 series) #[nn];;; #[nn];;;;;;;;;;;;;;;;
Titan;Doctor Who: The Eleventh Doctor, The Sapling (2017 series) #3 - Branches;;;;; #3 - Branches;;;;;;;;;;;;;;
Titan;Doctor Who: The Eleventh Doctor, Year Three (2017 series) #13; #13;;;;;;;;;;;;;;;;;;
Titan;Doctor Who: The Lost Dimension (2018 series) #1;; #1;;;;;;; #1; #2;;;;;;;;;
Titan;Doctor Who: The Lost Dimension (2018 series) #1;; #2;;;;;;;;;;;;;;;;;
Titan;Doctor Who: The Ninth Doctor (2016 series) #4 - Sin Eaters;;;;;;;; #4 - Sin Eaters;;;;;;;;;;;
Titan;Doctor Who: The Road to the Thirteenth Doctor (2018 series) #1;;;;;;; #1; #2; #3;;;;;;;;;;August 2018
Titan;Doctor Who: The Seventh Doctor (2018 series) #1;;;;;; #1; #2; #3;;;;;;;;;;;July 2018
Titan;Doctor Who: The Tenth Doctor Facing Fate (2017 series) #1 - Breakfast at Tyranny's;; #1 - Breakfast at Tyranny's;;;;;;;;;;;;;;;;;
Titan;Doctor Who: The Tenth Doctor Facing Fate (2017 series) #2 - Vortex Butterflies; #2 - Vortex Butterflies;;;;;;;;;;;;;;;;;;
Titan;Doctor Who: The Tenth Doctor Facing Fate (2017 series) #3 - The Good Companion;;;;;;;; #3 - The Good Companion;;;;;;;;;;;
Titan;Doctor Who: The Tenth Doctor, Year Three (2017 series) #14; #13; #14;;;;;;;;;;;;;;;;;March 2018
Titan;Doctor Who: The Thirteenth Doctor (2018 series) #0;;;;;;;;; #0;; #1; #2;;;;;;;October 2018
Titan;Doctor Who: The Twelfth Doctor (2016 series) #6 - Sonic Boom; #6 - Sonic Boom;;;;;;;;;;;;;;;;;;
Titan;Doctor Who: The Twelfth Doctor, Year Three (2017 series) #11; #11; #12;; #13;;;;;;;;;;;;;;;
Titan;Doctor Who: The Twelfth Doctor: Time Trials (2018 series) #2 - The Wolves of Winter;; #2 - The Wolves of Winter;;;;;;;;;;;;;;;;;
Titan;Doctor Who: The Twelfth Doctor: Time Trials (2018 series) #3 - A Confusion of Angels;;;;;;; #3 - A Confusion of Angels;;;;;;;;;;;;
Titan;Elric: The Ruby Throne (2018 series) ;;;;;;;;;;;Elric: The Ruby Throne (2018 series) ;;;;;;;;2018
Titan;Elric: The White Wolf (2018 series) #1;;;;;;;;; #1; #2;;;;;;;;;October 2018
Titan;Emma G. Wildford (2018 series) ;;;;;;;;;;;Emma G. Wildford (2018 series) ;;;;;;;;2018
Titan;Exterminator 17 (2018 series) ;;;;;;;;;;;Exterminator 17 (2018 series) ;;;;;;;;2018
Titan;Factory (2018 series) #1;;; #1; #2; #3;;;;;;;;;;;;;;August 2018
Titan;Fighting American (2017 series) #4; #4;;;;;;;;;;;;;;;;;;February 2018
Titan;Fighting American: The Ties That Bind (2018 series) #1;; #1;; #2; #3; #4;;;;;;;;;;;;;April 2018
Titan;Hercules: Wrath of the Heavens (2018 series) #[nn];; #[nn];;;;;;;;;;;;;;;;;
Titan;Konungar: War of Crowns (2018 series) #1;;;;;; #1; #2; #3;;;;;;;;;;;July 2018
Titan;Life Is Strange (2018 series) #1;;;;;;;;;;; #1;;;;;;;;December 2018
Titan;Lone Sloane: Gail (2018 series) ;;Lone Sloane: Gail (2018 series) ;;;;;;;;;;;;;;;;;March 2018
Titan;Mandrake the Magician - The Sundays (2018 series) #1 - The Meeting of Mandrake and Lothar;;;; #1 - The Meeting of Mandrake and Lothar;;;;;;;;;;;;;;;April 2018
Titan;Mickey Spillane's Mike Hammer (2018 series) #1;;;;;; #1; #2; #3; #4;;;;;;;;;;July 2018
Titan;Millennium: The Girl Who Danced with Death (2018 series) #1;;;;;;;; #1; #2; #3;;;;;;;;;September 2018
Titan;Millennium: The Girl Who Kicked The Hornet's Nest (2018 series) #2; #2;;;;;;;;;;;;;;;;;;February 2018
Titan;Minions: Viva Le Boss (2018 series) #1;;;;;;;;;;; #1; #2;;;;;;;
Titan;Minky Woodcock: The Girl Who Handcuffed Houdini (2017 series) #2; #2; #3;; #4;;;;;;;;;;;;;;;February 2018
Titan;Newbury & Hobbes (2018 series) #1;;;;;;;;; #1; #2; #3;;;;;;;;
Titan;Normandy Gold (2017 series) #5; #5;;;;;;;;;;;;;;;;;;February 2018
Titan;Penny Dreadful (2017 series) #2 - The Beauteous Evil;;;; #2 - The Beauteous Evil;;;;;;;;;;;;;;;May 2018
Titan;Penny Dreadful (2017 series) #2.10;;;;;; #2.10;; #2.11;;;; #2.12;;;;;;;July 2018
Titan;Penny Dreadful (2017 series) #2.8; #2.8;;; #2.9;;;;;;;;;;;;;;;January 2018
Titan;Quake Champions (2017 series) #3;; #3;;;;;;;;;;;;;;;;;February 2018
Titan;Quake Champions (2018 series) ;;;;;Quake Champions (2018 series) ;;;;;;;;;;;;;;May 2018
Titan;Quarry's War (2017 series) #2; #2; #3; #4;;;;;;;;;;;;;;;;January 2018
Titan;Rivers of London: Action at a Distance (2018 series) #1;;;;;;;;;; #1; #2; #3;;;;;;;November 2018
Titan;Rivers of London: Body Work (2018 series) ;;;;;Rivers of London: Body Work (2018 series) ;;;;;;;;;;;;;;March 2016
Titan;Rivers of London: Cry Fox (2017 series) #3; #3; #4;;;;;;;;;;;;;;;;;February 2018
Titan;Rivers of London: Cry Fox (2018 series) ;;;;;;Rivers of London: Cry Fox (2018 series) ;;;;;;;;;;;;;June 2018
Titan;Rivers of London: Water Weed (2018 series) #1;;;;;; #1; #2; #3; #4;;;;;;;;;;July 2018
Titan;Robotech (2017 series) #6; #6; #7; #8;; #9; #10; #11; #12;; #13; #14; #15;;;;;;;February 2018
Titan;Robotech (2018 series) #1 - Countdown;; #1 - Countdown;;;;;;;;;;;;;;;;;February 2018
Titan;Robotech (2018 series) #2 - Bye-Bye Mars;;;;;; #2 - Bye-Bye Mars;;;;;;;;;;;;;June 2018
Titan;Robotech (2018 series) #3 - Blind Game;;;;;;;;;;; #3 - Blind Game;;;;;;;;October 2018
Titan;Robotech Archives The Macross Saga (2018 series) #1;;;; #1;;;; #2;;; #3;;;;;;;;May 2018
Titan;Sea of Thieves (2018 series) ;;;;;;;;;Sea of Thieves (2018 series) ;;;;;;;;;;2018
Titan;Sea of Thieves (2018 series) #1;;; #1; #2; #3; #4;;;;;;;;;;;;;April 2018
Titan;Shades of Magic: The Steel Prince (2018 series) #1;;;;;;;;;; #1; #2; #3;;;;;;;
Titan;Sherlock: The Great Game (2017 series) #6; #6;;;;;;;;;;;;;;;;;;February 2018
