Publisher;Number;Jan;Feb;Mrz;Apr;Mai;Jun;Jul;Aug;Sep;Okt;Nov;Dez;Bemerkung;;;;;;Publication Date
American Mythology Productions;Stargate Universe Back to Destiny (2017 series) #4;; #3;; #4;; #5;;; #6;;;;;;;;;;
American Mythology Productions;The Filbert Factor (2018 series) #1;;;;;; #1;;;;;;;;;;;;;
American Mythology Productions;The Pink Panther Classic Christmas (2018 series) #1;;;;;;;;;;; #1;;;;;;;;2018
American Mythology Productions;The Pink Panther vs The Inspector (2018 series) #1;;;; #1;;;;;;;;;;;;;;;[April] 2018
American Mythology Productions;The Rocky and Bullwinkle Show (2017 series) #3;;;;;;;; #3;;;;;;;;;;;[August] 2018
American Mythology Productions;Three Stooges Shemptastic Shemptacular Special (2018 series) #1;; #1;;;;;;;;;;;;;;;;;2018
American Mythology Productions;Three Stooges Slaptastic Special (2018 series) #1;;;;; #1;;;;;;;;;;;;;;2018
American Mythology Productions;Underdog (2017 series) #3;;;; #3;;;;; #4;;;;;;;;;;
American Mythology Productions;Underdog Classics (2018 series) #1;;;;;; #1;;;;;;;;;;;;;
American Mythology Productions;Underdog: Halloween ComicFest (2019 series) #1;;;;;;;;; #1;;;;;;;;;;[October] 2019
American Mythology Productions;Vampire, PA (2018 series) ;;;;;;;;;;Vampire, PA (2018 series) ;;;;;;;;;2018
American Mythology Productions;Volcanosaurus (2017 series) #2;;;;; #2;;;;;;;;;;;;;;2018
American Mythology Productions;Zorro: Legendary Adventures (2018 series) #1;;;;;;;;;;;; #1;;;;;;;
American Mythology Productions;Zorro: Swords of Hell (2018 series) #1;;;;;;;;;; #1;; #2;;;;;;;
Amigo Comics;Call of The Suicide Forest 1-5 of 5;#1;#2;#3;#4;#5;;;;;;;;;;;;;;
Amigo Comics;Nancy in Hell;;;;#1;#2;#3;#4;;;;;;;;;;;;
Amigo Comics;Rogues Vol5 1-6 of 6;#1;#2;#3;#4;#5;#6;;;;;;;;;;;;;
Amigo Comics;Sidney Hammer - Hidden Blood;;;;;oneshot;;;;;;;;;;;;;;
Amigo Comics;The Blackening 1-6 of 6;;;;;;#1;#2;#3;#4;#5;#6;;;;;;;;
Amigo Comics;Titan;;;;;#1;#2;;;;;;;;;;;;;
Amryl Entertainment;Cavewoman Face Off (2018 series) #1;; #1;;;;;;;;;;;;;;;;;[March] 2018
Amryl Entertainment;Cavewoman Lycan Run (2018 series) #1;;;;; #1;;;;;;;;;;;;;;[May] 2018
Amryl Entertainment;Cavewoman Pool Party (2018 series) #1;; #1;;;;;;;;;;;;;;;;;[February] 2018
Amryl Entertainment;Cavewoman: Rampage (2018 series) ;;;;;;;;;;;;Cavewoman: Rampage (2018 series) ;;;;;;;[December] 2018
Amryl Entertainment;Cavewoman: Raptorella's Revenge (2018 series) #1;;;;;;;; #1;;;;;;;;;;;August 2018
Amryl Entertainment;Cavewoman: Raptorella's Revenge (2018 series) #2;;;;;;;; #2;;;;;;;;;;;[August] 2018
Amryl Entertainment;Cavewoman: Return to the Labyrinth (2018 series) #1;;;;; #1; #2;;;;;;;;;;;;;May 2018
Amryl Entertainment;Cavewoman: The Battle Against Ankha's Brood (2018 series) #1;;; #1; #2;;;;;;;;;;;;;;;[March] 2018
Andrew Skutnik Comics;Dorothy's Dead;#2;;;#3;;;;;;;;;;;;;;;
Andrews McMeel;A Baby Blues Collection (1993 series) #35 - Adult Time;;;;;;;;;; #35 - Adult Time;;;;;;;;;2018
Andrews McMeel;Floundering Fathers: A Pearls Before Swine Collection (2018 series) ;;;Floundering Fathers: A Pearls Before Swine Collection (2018 series) ;;;;;;;;;;;;;;;;2018
Andrews McMeel;Ozy and Millie (2018 series) ;;;;;;;;Ozy and Millie (2018 series) ;;;;;;;;;;;2018
Andrews McMeel;Peanuts Amp Series (2013 series) #[10] - I'm Not Your Sweet Babboo!;;; #[10] - I'm Not Your Sweet Babboo!;;;;;;;;;;;;;;;;[March] 2018
Andrews McMeel;Peanuts Amp Series (2013 series) #[11] - Snoopy: Boogie Down!;;;;;;;;;; #[11] - Snoopy: Boogie Down!;;;;;;;;;2018
Andrews McMeel;Phoebe and Her Unicorn (2014 series) #7 - Unicorn of Many Hats;;; #7 - Unicorn of Many Hats;;;;;;;;;;;;;;;;2018
Andrews McMeel;Phoebe and Her Unicorn (2014 series) #8 - Unicorn Theater;;;;;;;;;; #8 - Unicorn Theater;;;;;;;;;[October] 2018
Andrews McMeel;#SAD! - Doonesbury in the Time of Trump;;;;;oneshot;;;;;;;;;;;;;;
Andrews McMeel;Sister BFFs (2018 series) ;;;;;;;;;Sister BFFs (2018 series) ;;;;;;;;;;2018
Andrews McMeel;The Mutts Spring Diaries (2018 series) ;The Mutts Spring Diaries (2018 series) ;;;;;;;;;;;;;;;;;;2018
Antarctic Press;Adventure Finders (2017 series) #3; #3;;; #4;;;;;;;;;;;;;;;
Antarctic Press;Arya (2017 series) #3;; #3;; #4;;;;;;;;;;;;;;;
Antarctic Press;Barack Panther (2018 series) ;;;;;;;;;;Barack Panther (2018 series) ;;;;;;;;;[October] 2018
Antarctic Press;Black Hops: U.S.A.-*-G.I. (2018 series) #1;;;;;;; #1;;;;;;;;;;;;March 2018
